t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
42.39,0.8388196760556857,0.050055643509459936,0.03647274651788704,0.0513106559040104,0.8699714620344265,0.043292434523051475,0.03497869581367217,0.05175740762885003
42.396,0.9625821637596517,0.03858655710690055,0.03589694025882237,0.05359821085323894,0.8699349414453983,0.043302976488597864,0.03498788245852411,0.051774199607479934
42.402,0.7050317374592285,0.034248180458809,0.024823080861420713,0.06198261956789878,0.8698984127987512,0.043313520186058815,0.034997071019038734,0.05179099599615143
42.408,0.9757382585005384,0.03404964136511045,0.03884204399067748,0.056699524654362586,0.8698618760936295,0.043324065615251324,0.0350062614953353,0.051807796795784095
42.414,0.6879614189026628,0.04106568549765749,0.04542174874459233,0.04860767347265549,0.8698253313291777,0.04333461277599207,0.03501545388753292,0.05182460200729755
42.42,0.9599145226668697,0.04829454013393065,0.03728563822871896,0.06688436616113115,0.8697887785045407,0.043345161668097446,0.03502464819575051,0.05184141163161151
42.426,0.7940613995496671,0.04466653700002019,0.042833898054464734,0.05307715248897271,0.8697522176188641,0.043355712291383526,0.03503384442010683,0.05185822566964572
42.432,1.026733286736937,0.053220721947141426,0.028861324193336042,0.05276053218461629,0.8697156486712936,0.0433662646456661,0.03504304256072045,0.051875044122320024
42.438,0.9255705294009913,0.05736328849174779,0.038931763575325636,0.04612466694426685,0.8696790716609755,0.043376818730760644,0.035052242617709756,0.0518918669905543
42.444,0.9767739211179747,0.05119387922689921,0.03165424514735867,0.04689850888377879,0.8696424865870565,0.04338737454648233,0.03506144459119298,0.0519086942752685
42.45,0.9696945481165806,0.044522378823203514,0.043978163898846324,0.04160283315326568,0.8696058934486833,0.04339793209264605,0.03507064848128816,0.05192552597738264
42.456,0.8619530613319163,0.05120101647665646,0.039210024563621576,0.06661640603952226,0.8695692922450039,0.04340849136906637,0.035079854288113166,0.0519423620978168
42.462,0.8853956433025679,0.04340596741974712,0.04896383239498926,0.060671227311003086,0.8695326829751658,0.043419052375557564,0.03508906201178569,0.051959202637491125
42.468,0.9681921023930118,0.0487288670061343,0.03294058674985581,0.039355630666457725,0.8694960656383175,0.043429615111933606,0.03509827165242325,0.05197604759732582
42.474000000000004,0.846359045969758,0.04094079834669368,0.03417541257538049,0.05412357455611205,0.8694594402336078,0.043440179578008165,0.03510748321014318,0.05199289697824115
42.480000000000004,0.8418829562582022,0.05039474738594526,0.0384791019761075,0.058996889189961,0.8694228067601855,0.043450745773594604,0.035116696685062655,0.05200975078115746
42.486000000000004,0.5774931522139873,0.02949638987818871,0.037459155641033866,0.04583586820656897,0.8693861652172005,0.043461313698506004,0.03512591207729865,0.05202660900699513
42.492000000000004,0.9426710058631242,0.04426857333066871,0.04044226169382703,0.049516679597122526,0.8693495156038025,0.04347188335255512,0.035135129386967986,0.05204347165667464
42.498,0.7371280261294821,0.04375460084664377,0.03347752023341948,0.05478047913270916,0.869312857919142,0.043482454735554406,0.03514434861418728,0.05206033873111648
42.504,0.9559495222821252,0.048447205968472254,0.03129097762613072,0.053429464031353145,0.8692761921623698,0.043493027847316054,0.03515356975907303,0.052077210231241275
42.51,1.4650846685948746,0.03789205449069821,0.03309096326627565,0.04433254162391722,0.8692395183326371,0.04350360268765191,0.03516279282174149,0.05209408615796967
42.516,0.7613943658387022,0.039794369218329864,0.025559109282536907,0.04833806203839743,0.8692028364290956,0.04351417925637353,0.03517201780230878,0.05211096651222237
42.522,0.928199142471465,0.044482740303067744,0.03547176982696611,0.058726912714742695,0.8691661464508971,0.04352475755329217,0.03518124470089083,0.052127851294920154
42.528,1.1005495793719264,0.04639295723325408,0.04173946735425931,0.03670775660412289,0.8691294483971942,0.0435353375782188,0.03519047351760339,0.05214474050698387
42.534,0.9039438153129793,0.03984296909633826,0.03875621326056715,0.05138544401460744,0.8690927422671397,0.043545919330964064,0.035199704252562046,0.05216163414933441
42.54,0.8794615449077106,0.05221967357350836,0.03863009003814226,0.05123013167852648,0.8690560280598869,0.04355650281133831,0.03520893690588219,0.05217853222289275
42.546,1.0323712037224049,0.03610208482635239,0.03990926300330379,0.047807940080116434,0.8690193057745896,0.04356708801915161,0.03521817147767907,0.052195434728579924
42.552,0.7636006108810641,0.03743816312813475,0.033824140018868395,0.06233060750131809,0.8689825754104018,0.043577674954213684,0.03522740796806772,0.05221234166731703
42.558,1.0197192802805244,0.040190672086613775,0.03653814568996406,0.05172213969664531,0.868945836966478,0.04358826361633401,0.03523664637716302,0.05222925304002522
42.564,0.7076338464057367,0.04816775141785678,0.04234662728132488,0.04343971018374088,0.8689090904419731,0.04359885400532171,0.03524588670507967,0.05224616884762572
42.57,0.8218368260722078,0.030594382844586633,0.03482227557948686,0.042623340832188245,0.8688723358360425,0.04360944612098565,0.035255128951932196,0.05226308909103981
42.576,0.8654436162235405,0.04655043661532507,0.036534543367759395,0.04076220565269965,0.8688355731478421,0.043620039963134356,0.03526437311783495,0.052280013771188856
42.582,0.7856231780021156,0.050976836170397416,0.03853453154574542,0.053399017877699524,0.8687988023765277,0.04363063553157608,0.03527361920290209,0.05229694288899425
42.588,0.9309984660221032,0.036681771062773386,0.032063209610279364,0.048363891141006095,0.8687620235212563,0.043641232826118766,0.03528286720724762,0.05231387644537749
42.594,0.9012924128628884,0.039485963094024454,0.033876328862324244,0.05279035608073198,0.8687252365811847,0.043651831846570045,0.03529211713098535,0.0523308144412601
42.6,0.8475615413895118,0.06516296098678902,0.03169937527117111,0.061820765580506566,0.8686884415554703,0.043662432592737256,0.03530136897422894,0.05234775687756369
42.606,0.940946016729845,0.04396523588357197,0.032315850838830776,0.06757994774086368,0.868651638443271,0.043673035064427435,0.035310622737091846,0.05236470375520993
42.612,0.8504482897674902,0.03666877910706037,0.03913018484260727,0.05102765104765482,0.868614827243745,0.04368363926144732,0.03531987841968736,0.05238165507512055
42.618,0.9067153730692568,0.03318807499610458,0.03796576460321906,0.05526947471699173,0.868578007956051,0.043694245183603334,0.035329136022128595,0.052398610838217334
42.624,0.9399540363110045,0.046828171590836604,0.038591661924844874,0.051961888849814446,0.8685411805793479,0.04370485283070162,0.03533839554452849,0.052415571045422146
42.63,0.7411104684784185,0.050561378988474265,0.034574405685113815,0.06020781509383266,0.8685043451127955,0.043715462202547996,0.03534765698699982,0.05243253569765692
42.636,0.7265497127821049,0.039922633422080904,0.031245875074292034,0.05750628690500188,0.8684675015555534,0.043726073298948,0.03535692034965516,0.05244950479584362
42.642,0.956032206515246,0.036150886068113945,0.0313803049140331,0.05893113326671342,0.8684306499067821,0.04373668611970685,0.03536618563260692,0.052466478340904316
42.648,0.7537341913224056,0.04366007782662939,0.03368433062817674,0.04420005918819503,0.8683937901656423,0.04374730066462948,0.03537545283596734,0.0524834563337611
42.654,0.5792428867260402,0.03684048913567687,0.04533967497243558,0.05122725464689986,0.868356922331295,0.043757916933520505,0.03538472195984847,0.05250043877533616
42.660000000000004,0.7752547888795521,0.05139809971702721,0.040544998465537455,0.0574771294168795,0.8683200464029021,0.043768534926184245,0.03539399300436221,0.05251742566655173
42.666000000000004,0.6600106556143556,0.056570532798140505,0.03464729567975383,0.06080184386221449,0.8682831623796251,0.043779154642424725,0.035403265969620255,0.052534417008330114
42.672000000000004,1.035676763506145,0.03951177259370768,0.03056907605116849,0.04708198562681106,0.8682462702606267,0.043789776082045664,0.03541254085573413,0.05255141280159368
42.678000000000004,0.9611789672980242,0.03785913396280272,0.028631577884411844,0.06674318895364727,0.8682093700450697,0.04380039924485048,0.0354218176628152,0.05256841304726485
42.684,1.1100711230763551,0.04853009173007524,0.04082664379928455,0.03782087952199675,0.8681724617321172,0.04381102413064227,0.03543109639097463,0.05258541774626611
42.69,0.9515114571480832,0.036701412530559495,0.03353205715795367,0.06638435477631985,0.8681355453209328,0.04382165073922387,0.03544037704032344,0.05260242689952004
42.696,0.7944926021067432,0.04080741015465029,0.04009146008276587,0.061954858623838455,0.8680986208106807,0.043832279070397794,0.035449659610972455,0.052619440507949256
42.702,1.0327542076987795,0.034717392604207246,0.02988769624468752,0.060127667969491934,0.8680616882005252,0.04384290912396623,0.03545894410303232,0.05263645857247644
42.708,0.8925700181719828,0.04566405008455292,0.030944395405483768,0.05513447126133435,0.8680247474896313,0.04385354089973111,0.0354682305166135,0.052653481094024325
42.714,1.0416611452080193,0.04227224721326632,0.03759396467135092,0.0501834114062299,0.8679877986771641,0.04386417439749403,0.035477518851826303,0.05267050807351573
42.72,0.9003610406014513,0.03960558232374586,0.03602264847184755,0.047576641453490505,0.8679508417622895,0.043874809617056296,0.035486809108780853,0.052687539511873535
42.726,0.7267052248725863,0.04775409624703832,0.039055892636727534,0.06146690085027422,0.8679138767441735,0.04388544655821891,0.035496101287587095,0.052704575410020674
42.732,0.9142652253710003,0.035468979561758,0.03386212842625983,0.04836768734401837,0.8678769036219827,0.04389608522078258,0.035505395388354795,0.052721615768880147
42.738,0.8489929903360751,0.04746817935841369,0.037927093181700004,0.04577549072488268,0.867839922394884,0.0439067256045477,0.03551469141119355,0.052738660589375014
42.744,0.7339273749076894,0.034483327872430816,0.045004060526009464,0.06499296970278721,0.8678029330620446,0.04391736770931438,0.03552398935621278,0.05275570987242841
42.75,1.0388975792218895,0.05340410930937982,0.03230945961642736,0.051990230046444284,0.8677659356226326,0.043928011534882405,0.035533289223521725,0.052772763618963534
42.756,0.6784970336462405,0.04008499220982032,0.03628640619490322,0.048074600905023725,0.8677289300758159,0.043938657081051276,0.03554259101322945,0.052789821829903626
42.762,1.023605986935827,0.032874265385559716,0.038687347687556876,0.05662106988323694,0.8676919164207632,0.04394930434762019,0.035551894725444844,0.052806884506172005
42.768,0.9449535753530809,0.0396338223251691,0.04158235139684157,0.04559148377396181,0.8676548946566435,0.04395995333438804,0.03556120036027662,0.052823951648692066
42.774,0.8554179336949063,0.050345260276620576,0.030646934822960634,0.058909181141042814,0.8676178647826263,0.043970604041153424,0.035570507917833324,0.05284102325838725
42.78,0.6818433210272983,0.04816085443482772,0.03518388487679996,0.055036845028354535,0.8675808267978812,0.04398125646771461,0.03557981739822331,0.05285809933618107
42.786,0.8784943860118836,0.04002815696516325,0.034353924468824605,0.05017903402034441,0.8675437807015788,0.04399191061386961,0.035589128801554765,0.052875179882997086
42.792,1.08492815543817,0.06172723921345594,0.04198529647097826,0.05384620821187166,0.8675067264928895,0.0440025664794161,0.0355984421279357,0.05289226489975894
42.798,0.9070402597699144,0.039743556983624265,0.03828273195780323,0.05856513699086242,0.8674696641709845,0.044013224064151465,0.035607757377473945,0.05290935438739034
42.804,0.7602483275558706,0.040829226949439516,0.038207622148686865,0.053344187613743106,0.8674325937350352,0.04402388336787279,0.03561707455027716,0.05292644834681505
42.81,1.0387497581953684,0.05273254448398111,0.03679839846039593,0.05866003401082427,0.8673955151842137,0.04403454439037686,0.035626393646452835,0.05294354677895688
42.816,0.8043002689371027,0.038728822459458204,0.03161500366713068,0.04354637369885486,0.8673584285176921,0.044045207131460144,0.035635714666108265,0.05296064968473974
42.822,0.7364312998091854,0.03211884286409771,0.037119174570919414,0.05191125418614174,0.8673213337346433,0.04405587159091883,0.03564503760935058,0.052977757065087575
42.828,0.8927408668434105,0.04895657497768262,0.034300120924510534,0.053355296957147295,0.8672842308342403,0.0440665377685488,0.035654362476286734,0.0529948689209244
42.834,0.9820858471348225,0.06405655635171753,0.039466859062502774,0.05821341541652753,0.8672471198156568,0.044077205664145615,0.03566368926702351,0.0530119852531743
42.84,1.1545799968648907,0.04240220425028208,0.048343737457703415,0.058611241539682196,0.8672100006780668,0.04408787527750456,0.035673017981667506,0.05302910606276142
42.846000000000004,0.8926162565134684,0.04034222645137648,0.04330419229459048,0.06284780609374001,0.8671728734206445,0.04409854660842061,0.03568234862032514,0.05304623135060997
42.852000000000004,1.139549780046015,0.04519937356913538,0.031807494796090525,0.05101204778484017,0.8671357380425648,0.044109219656688424,0.035691681183102675,0.05306336111764422
42.858000000000004,0.842950446079707,0.04115271862331073,0.04221014596094421,0.053179221403377414,0.8670985945430032,0.04411989442210239,0.03570101567010618,0.0530804953647885
42.864000000000004,1.0353338640732983,0.04055324845036041,0.03797234795141935,0.05766350183785166,0.8670614429211362,0.044130570904455976,0.035710352081441174,0.05309763409296688
42.87,0.9591284207105918,0.05236133679222871,0.0355493216066183,0.05746641103278763,0.8670242831761675,0.04414124910353009,0.03571969041720611,0.05311477730309649
42.876,1.0007331029327982,0.042956612340353716,0.03145945669200341,0.054626594003883366,0.8669871153072861,0.04415192901911057,0.0357290306775053,0.05313192499609822
42.882,0.7909460411657006,0.04692166739840133,0.042312088746427994,0.0647937414500113,0.8669499393136709,0.044162610650987436,0.035738372862446174,0.05314907717289572
42.888,1.1787610667282375,0.04553376148866213,0.04190674058113998,0.0639539205641753,0.8669127551945011,0.04417329399895042,0.03574771697213597,0.053166233834412706
42.894,0.9169338732590246,0.055054822638753914,0.04170701967776627,0.061278539230298044,0.8668755629489566,0.044183979062788904,0.03575706300668171,0.053183394981572936
42.9,0.7779786530309957,0.04645878814153157,0.042513275037005215,0.053474897453878255,0.8668383625762178,0.04419466584229196,0.035766410966190244,0.05320056061530022
42.906,0.8525455129188568,0.0369381746762268,0.03398806056147956,0.060201302361058404,0.8668011540754653,0.04420535433724832,0.0357757608507682,0.053217730736518414
42.912,0.9739480746735851,0.03494541589139173,0.04550727792922316,0.04166175916113158,0.8667639374458803,0.044216044547446404,0.03578511266052203,0.05323490534615142
42.918,0.9979750218270349,0.04115353454529038,0.03651961357776796,0.05310204254606895,0.8667267126866448,0.04422673647267429,0.03579446639555796,0.053252084445123186
42.924,0.8764015123929536,0.03955073903552489,0.03075175243163981,0.06919017025305736,0.8666894797969407,0.04423743011271975,0.035803822055982044,0.05326926803435772
42.93,0.836945977083814,0.04240644221237573,0.03166605970079579,0.04421158804865613,0.8666522387759508,0.044248125467370225,0.035813179641900124,0.05328645611477906
42.936,0.8402141640072089,0.05026323429821263,0.04090941228283319,0.04663321733320891,0.8666149896228582,0.04425882253641281,0.035822539153417855,0.05330364868731131
42.942,0.907594930779728,0.03348968005332076,0.037814462636757876,0.05216349046051336,0.8665777323368467,0.0442695213196343,0.035831900590640675,0.0533208457528786
42.948,0.9794158449215917,0.054449114558003144,0.033152779827751895,0.04813143400074078,0.8665404669171001,0.04428022181682115,0.03584126395367384,0.05333804731240513
42.954,0.7602157929816006,0.04242395971362581,0.03637483985770639,0.05320214397727412,0.8665031933628031,0.044290924027759485,0.0358506292426224,0.05335525336681514
42.96,0.9467499293770338,0.03489895227773686,0.04421999507123684,0.051658604301326135,0.8664659116731409,0.04430162795223513,0.03585999645759121,0.05337246391703292
42.966,0.9752492342372098,0.05035755871176684,0.04111128519795412,0.06317955306212954,0.866428621847299,0.044312333590033545,0.03586936559868493,0.053389678963982785
42.972,0.6286559760778008,0.05046319907482273,0.04095618705115511,0.04525022893237658,0.8663913238844632,0.0443230409409399,0.035878736666008014,0.05340689850858913
42.978,0.7505854951691904,0.039093652562221776,0.028821405112315825,0.05217323665748251,0.86635401778382,0.04433375000473902,0.03588810965966471,0.053424122551776386
42.984,0.8391840186819413,0.053271492029024446,0.039126553261192125,0.05373042407870336,0.8663167035445567,0.04434446078121541,0.035897484579759095,0.05344135109446903
42.99,0.43061504436778875,0.04370886814885413,0.04095694624214324,0.061418798287993764,0.8662793811658603,0.04435517327015324,0.03590686142639502,0.053458584137591574
42.996,0.6823620092384038,0.046538232893187176,0.04047558912712848,0.04539240105117762,0.8662420506469191,0.04436588747133637,0.03591624019967616,0.05347582168206861
43.002,0.8487637421023703,0.029543239025525688,0.040037189226534056,0.04356269098213554,0.8662047119869212,0.044376603384548324,0.03592562089970597,0.053493063728824744
43.008,0.7232121765038079,0.049891086264376765,0.030027548985586225,0.06923661293077084,0.8661673651850555,0.044387321009572295,0.035935003526587725,0.05351031027878465
43.014,0.8785370509175318,0.0646690192309786,0.028417913717325625,0.04882357443932661,0.8661300102405115,0.044398040346191166,0.03594438808042449,0.05352756133287304
43.02,0.8875336975364395,0.048140235353068384,0.03889266435699741,0.05589239760856347,0.8660926471524789,0.04440876139418748,0.03595377456131913,0.053544816892014686
43.026,0.7314192686550519,0.04539281043863232,0.03312064932473951,0.051015510394411545,0.866055275920148,0.04441948415334346,0.03596316296937433,0.0535620769571344
43.032000000000004,0.7056576451046223,0.04017032428468584,0.034026761952604505,0.04728618552696439,0.8660178965427097,0.044430208623441,0.03597255330469256,0.053579341529157026
43.038000000000004,1.0641826113479436,0.054870969965429124,0.039454839416901484,0.05674146255415262,0.865980509019355,0.04444093480426168,0.03598194556737609,0.05359661060900749
43.044000000000004,0.6431933384103056,0.04828792618482194,0.031259587280093204,0.05028147947428305,0.8659431133492758,0.04445166269558673,0.035991339757527004,0.053613884197610734
43.050000000000004,0.8742226520962677,0.03936345267498587,0.03305411332337906,0.06143194758603108,0.8659057095316641,0.04446239229719708,0.03600073587524718,0.05363116229589177
43.056,0.6965562784519788,0.049473590340535833,0.029826683003270994,0.054045111118380625,0.865868297565713,0.04447312360887331,0.03601013392063828,0.05364844490477562
43.062,1.2507644642326825,0.038749508538080374,0.03734171431889526,0.05382590286294502,0.8658308774506153,0.04448385663039571,0.036019533893801824,0.05366573202518743
43.068,1.0443155090176197,0.053836400056959034,0.0344021402119454,0.061264684970620466,0.8657934491855646,0.044494591361544204,0.036028935794839075,0.053683023658052324
43.074,0.6693396665783959,0.042825068632602714,0.03693623849729988,0.04351772116339693,0.8657560127697552,0.04450532780209841,0.03603833962385112,0.05370031980429549
43.08,0.9629764924448553,0.05928074759939528,0.04187849243960983,0.05034186800637545,0.8657185682023816,0.04451606595183762,0.03604774538093885,0.05371762046484218
43.086,0.7844699091525023,0.045759883886643066,0.04191400749145174,0.05061997671939605,0.8656811154826388,0.0445268058105408,0.036057153066202954,0.05373492564061767
43.092,1.177940487400197,0.05888630653014779,0.04423034525450679,0.05024449381714734,0.8656436546097224,0.044537547377986576,0.03606656267974392,0.05375223533254731
43.098,1.1797882556852686,0.051149606653041094,0.03471081762702037,0.05084357131705006,0.8656061855828284,0.04454829065395328,0.03607597422166204,0.05376954954155648
43.104,0.9769956660806205,0.05430152443279384,0.036723964930748094,0.06596807485422254,0.8655687084011533,0.04455903563821887,0.036085387692057415,0.05378686826857062
43.11,0.8473921142955302,0.04388653735397448,0.02695650040052845,0.057751185098348534,0.8655312230638941,0.04456978233056103,0.036094803091029935,0.053804191514515196
43.116,0.7013657851834817,0.05223721054166268,0.04971803196602251,0.04783601178298267,0.8654937295702481,0.04458053073075709,0.036104220418679306,0.05382151928031574
43.122,0.8762005088256035,0.03629050590163223,0.04693511205903362,0.045897479487161774,0.8654562279194133,0.044591280838584046,0.036113639675105016,0.05383885156689784
43.128,0.7157407580676192,0.04611913313165979,0.03849960319275871,0.057881777608770814,0.8654187181105881,0.044602032653818596,0.03612306086040637,0.05385618837518712
43.134,0.7620763585908695,0.04240477957176995,0.040753016553489424,0.0495628034262108,0.8653812001429714,0.04461278617623709,0.03613248397468248,0.05387352970610923
43.14,0.8144445132478616,0.04131531704983626,0.029666005102266312,0.05292480933138464,0.8653436740157625,0.04462354140561555,0.03614190901803224,0.053890875560589906
43.146,1.0856285263750953,0.044564271531406636,0.03498184950671683,0.052895877756014655,0.8653061397281612,0.044634298341729696,0.03615133599055437,0.05390822593955492
43.152,0.7295838826115515,0.04136355831171556,0.03512042693697756,0.06135062720653851,0.8652685972793679,0.0446450569843549,0.036160764892347354,0.05392558084393008
43.158,0.8735562943943214,0.026331878896977006,0.04205249180830912,0.05864128675307034,0.8652310466685832,0.044655817333266214,0.036170195723509525,0.05394294027464124
43.164,0.7802960821371056,0.03617603117346664,0.0342385682352759,0.03481996834668861,0.8651934878950085,0.04466657938823837,0.036179628484138984,0.05396030423261433
43.17,0.7308877395366119,0.04268154783588737,0.03249880121188677,0.0492326809936126,0.8651559209578455,0.04467734314904576,0.03618906317433365,0.053977672718775294
43.176,1.0327401197145432,0.04454003056754212,0.04320873247651494,0.05668880154793901,0.8651183458562963,0.04468810861546247,0.036198499794191236,0.053995045734050146
43.182,0.8284166584136484,0.03298009870371078,0.02894021756448052,0.055037063996808425,0.8650807625895638,0.04469887578726225,0.036207938343809254,0.05401242327936493
43.188,0.9357221252158019,0.05017963045584677,0.037171749127517355,0.06653538959569974,0.8650431711568509,0.04470964466421851,0.036217378823285025,0.05402980535564576
43.194,0.9950439675766396,0.043326071874337874,0.030946331710509683,0.03954589383457737,0.8650055715573614,0.044720415246104366,0.03622682123271567,0.05404719196381878
43.2,1.0768909261665973,0.04415992675581905,0.02804987679171643,0.04524868753782824,0.8649679637902994,0.044731187532692576,0.03623626557219811,0.05406458310481019
43.206,1.1918842184357779,0.050710917019009365,0.03738870750931722,0.07035749279614877,0.8649303478548693,0.04474196152375559,0.03624571184182907,0.05408197877954623
